frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
0,0.0,AGREE,1,0.9502,1013.31,699.99,109683.3,845.24,536.84,1181.38,863.14,1,1013.31,699.99,845.24,536.84,1181.38,863.14,1.0,744.1,108.12,154.07
1,0.033,AGREE,1,0.9514,1013.49,700.03,109556.1,845.51,536.98,1181.47,863.08,1,1013.0,700.0,845.0,537.0,1181.0,863.0,0.9968,14.61,109.43,154.11
2,0.067,AGREE,1,0.9517,1013.82,700.08,109411.8,846.06,537.03,1181.57,863.13,1,1013.0,700.0,845.0,537.0,1181.0,863.0,0.9946,24.49,109.13,154.14
3,0.1,AGREE,1,0.9521,1014.26,700.04,109646.4,846.88,536.27,1181.63,863.81,1,1014.0,700.0,846.0,537.0,1182.0,863.0,0.9916,25.11,107.69,154.21
4,0.134,AGREE,1,0.9534,1014.25,699.84,109491.5,847.06,536.11,1181.44,863.57,1,1013.5,700.5,842.0,534.0,1185.0,867.0,0.9586,18.09,105.83,154.28
5,0.167,AGREE,1,0.952,1014.46,699.81,109304.3,847.4,536.24,1181.53,863.37,1,1013.5,700.5,842.0,534.0,1185.0,867.0,0.957,17.97,104.0,154.31
6,0.201,AGREE,1,0.9525,1015.13,699.45,109193.7,848.25,535.86,1182.0,863.04,1,1014.0,700.0,846.0,537.0,1182.0,863.0,0.9897,17.38,102.82,154.31
7,0.234,AGREE,1,0.9537,1015.44,699.12,109238.4,848.54,535.49,1182.34,862.74,1,1015.0,700.0,847.0,537.0,1183.0,863.0,0.9882,23.52,107.69,154.34
8,0.268,AGREE,1,0.9541,1015.67,698.84,109303.5,848.62,535.26,1182.73,862.41,1,1014.5,699.5,843.0,533.0,1186.0,866.0,0.957,25.78,113.7,154.35
9,0.301,AGREE,1,0.9544,1015.7,698.65,109180.3,849.09,534.83,1182.31,862.48,1,1014.5,700.5,843.0,534.0,1186.0,867.0,0.9559,24.37,111.13,154.34
10,0.335,AGREE,1,0.9521,1016.03,698.65,109094.9,849.21,535.16,1182.86,862.14,1,1014.5,700.5,843.0,534.0,1186.0,867.0,0.9551,18.22,102.46,154.37
11,0.368,AGREE,1,0.9505,1015.86,698.72,109012.5,848.47,535.91,1183.25,861.53,1,1014.5,700.5,843.0,534.0,1186.0,867.0,0.9544,21.36,96.68,154.41
