frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
0,0.0,AGREE,1,0.9367,1053.7,649.32,95263.2,897.2,497.15,1210.21,801.49,1,1053.7,649.32,897.2,497.15,1210.21,801.49,1.0,779.19,59.47,58.12
1,0.033,AGREE,1,0.9366,1053.97,649.29,95389.4,897.41,496.97,1210.53,801.61,1,1054.5,649.0,898.0,497.0,1211.0,801.0,0.9945,17.94,60.64,58.17
2,0.067,AGREE,1,0.9369,1054.37,649.37,95346.3,897.89,497.04,1210.86,801.69,1,1054.5,649.0,898.0,497.0,1211.0,801.0,0.9968,18.53,63.75,58.19
3,0.1,AGREE,1,0.9375,1054.46,649.33,95052.6,897.99,497.46,1210.93,801.21,1,1054.5,649.0,898.0,497.0,1211.0,801.0,0.9975,17.14,66.62,58.21
4,0.133,AGREE,1,0.9391,1054.79,649.33,95188.5,898.23,497.33,1211.34,801.34,1,1055.5,649.0,899.0,497.0,1212.0,801.0,0.9933,21.98,68.09,58.23
5,0.167,AGREE,1,0.9363,1055.23,649.4,95545.4,898.34,497.16,1212.13,801.65,1,1054.5,649.0,898.0,497.0,1211.0,801.0,0.9927,17.27,62.51,58.2
6,0.2,AGREE,1,0.9348,1054.68,649.37,95312.3,898.05,497.24,1211.31,801.5,1,1055.5,649.0,899.0,497.0,1212.0,801.0,0.9923,22.75,64.18,58.22
7,0.233,AGREE,1,0.9348,1054.49,649.23,94904.4,897.99,497.62,1210.99,800.83,1,1054.5,648.0,898.0,496.0,1211.0,800.0,0.9919,17.86,62.93,58.22
8,0.267,AGREE,1,0.9332,1054.81,648.66,94896.9,898.43,496.95,1211.19,800.37,1,1055.5,649.0,899.0,497.0,1212.0,801.0,0.9934,23.07,62.23,58.24
9,0.3,AGREE,1,0.9335,1054.87,648.83,94932.8,898.48,497.08,1211.26,800.59,1,1055.5,648.0,899.0,496.0,1212.0,800.0,0.9905,17.22,63.89,58.28
10,0.333,AGREE,1,0.935,1055.06,648.52,95107.0,898.47,496.68,1211.64,800.36,1,1055.5,648.0,899.0,496.0,1212.0,800.0,0.9938,22.93,65.68,58.31
11,0.367,AGREE,1,0.9343,1054.33,648.39,94943.2,898.04,496.52,1210.63,800.26,1,1056.5,648.0,903.0,499.0,1210.0,797.0,0.9636,22.44,66.7,58.29
12,0.4,AGREE,1,0.9335,1054.44,648.32,94902.4,898.35,496.32,1210.53,800.32,1,1054.5,648.0,898.0,496.0,1211.0,800.0,0.9953,17.82,63.66,58.3
13,0.433,AGREE,1,0.9334,1055.01,648.49,94603.7,899.29,496.6,1210.73,800.37,1,1056.5,648.0,900.0,496.0,1213.0,800.0,0.9874,21.45,63.06,58.31
14,0.467,AGREE,1,0.9314,1055.02,648.49,94752.9,899.2,496.46,1210.84,800.51,1,1056.5,648.0,900.0,496.0,1213.0,800.0,0.9874,22.02,62.15,58.33
15,0.5,AGREE,1,0.9307,1055.22,648.51,94626.9,899.52,496.57,1210.92,800.45,1,1056.5,648.0,900.0,496.0,1213.0,800.0,0.9885,20.26,65.14,58.33
16,0.533,AGREE,1,0.9327,1055.69,648.89,94662.5,899.97,496.92,1211.41,800.87,1,1056.5,648.0,900.0,496.0,1213.0,800.0,0.989,21.3,62.06,58.35
17,0.567,AGREE,1,0.9324,1057.18,648.91,95358.0,900.56,496.69,1213.79,801.13,1,1056.5,648.0,900.0,496.0,1213.0,800.0,0.9898,25.06,60.82,58.33
18,0.6,AGREE,1,0.9323,1056.38,648.91,94992.4,900.37,496.69,1212.39,801.14,1,1058.5,648.0,905.0,499.0,1212.0,797.0,0.9631,27.32,62.35,58.33
19,0.633,AGREE,1,0.9348,1057.05,648.94,95237.5,900.42,496.94,1213.69,800.95,1,1058.5,648.0,905.0,499.0,1212.0,797.0,0.9606,22.11,64.86,58.34
20,0.666,AGREE,1,0.936,1057.82,648.9,95491.1,900.71,496.95,1214.93,800.85,1,1057.5,648.0,901.0,496.0,1214.0,800.0,0.9903,23.07,67.16,58.35
21,0.7,AGREE,1,0.9374,1058.38,648.92,95667.7,900.9,497.05,1215.87,800.79,1,1058.5,648.0,902.0,496.0,1215.0,800.0,0.9878,17.91,66.25,58.37
22,0.733,AGREE,1,0.9387,1058.77,648.6,95751.9,901.2,496.68,1216.34,800.52,1,1059.5,648.0,906.0,499.0,1213.0,797.0,0.9554,21.24,63.2,58.41
23,0.766,AGREE,1,0.9392,1058.68,649.07,95173.7,902.24,496.98,1215.12,801.16,1,1059.5,648.0,903.0,496.0,1216.0,800.0,0.9878,17.64,61.31,58.39
24,0.8,AGREE,1,0.9411,1060.06,648.82,95939.8,902.16,496.92,1217.96,800.72,1,1059.5,648.0,903.0,496.0,1216.0,800.0,0.9858,17.81,62.05,58.4
25,0.833,AGREE,1,0.939,1060.23,648.71,96133.8,902.15,496.67,1218.31,800.74,1,1060.5,648.0,907.0,499.0,1214.0,797.0,0.9517,16.74,61.65,58.39
26,0.866,AGREE,1,0.9397,1060.52,648.82,96178.2,902.35,496.81,1218.7,800.84,1,1060.5,648.0,904.0,496.0,1217.0,800.0,0.9841,23.57,61.35,58.41
27,0.9,AGREE,1,0.9403,1061.56,648.96,96321.1,903.21,496.89,1219.92,801.02,1,1061.5,647.0,905.0,495.0,1218.0,799.0,0.9757,22.47,62.37,58.42
28,0.933,AGREE,1,0.9414,1061.15,648.92,96017.0,903.89,496.28,1218.41,801.56,1,1062.5,647.0,906.0,495.0,1219.0,799.0,0.979,21.94,62.94,58.41
29,0.966,AGREE,1,0.9447,1062.09,647.23,93950.2,905.84,496.92,1218.35,797.55,1,1063.5,647.0,907.0,495.0,1220.0,799.0,0.9801,16.52,62.39,58.46
30,1.0,AGREE,1,0.9476,1063.35,646.91,94464.5,906.62,496.23,1220.09,797.58,1,1065.5,647.0,909.0,495.0,1222.0,799.0,0.9778,21.49,60.74,58.51
31,1.033,AGREE,1,0.9484,1064.26,646.56,94639.1,907.52,495.61,1221.0,797.51,1,1065.5,647.0,909.0,495.0,1222.0,799.0,0.9853,24.32,59.53,58.51
32,1.066,AGREE,1,0.9471,1065.89,646.13,94879.9,908.94,495.0,1222.85,797.26,1,1066.5,646.0,910.0,494.0,1223.0,798.0,0.9904,21.48,57.2,58.49
33,1.1,AGREE,1,0.9487,1066.08,645.88,94996.9,909.08,494.6,1223.07,797.15,1,1066.5,646.0,910.0,494.0,1223.0,798.0,0.9921,17.02,59.79,58.48
34,1.133,AGREE,1,0.9513,1066.16,646.41,94933.9,909.12,495.29,1223.2,797.54,1,1067.5,647.0,911.0,495.0,1224.0,799.0,0.9858,21.22,62.06,58.48
35,1.166,AGREE,1,0.9524,1066.38,646.81,95096.8,909.11,495.64,1223.65,797.98,1,1067.5,647.0,911.0,495.0,1224.0,799.0,0.9875,22.0,62.35,58.48
36,1.2,AGREE,1,0.9527,1066.36,646.93,94961.1,909.32,495.76,1223.41,798.1,1,1067.5,647.0,914.0,498.0,1221.0,796.0,0.9634,24.95,64.13,58.45
37,1.233,AGREE,1,0.9504,1065.93,647.12,94963.0,908.84,495.99,1223.03,798.24,1,1066.5,647.0,910.0,495.0,1223.0,799.0,0.9905,23.99,62.89,58.43
38,1.266,AGREE,1,0.9496,1065.19,647.48,94834.8,908.21,496.45,1222.17,798.51,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9906,21.33,60.28,58.4
39,1.3,AGREE,1,0.9481,1064.72,647.48,94642.8,907.69,496.81,1221.76,798.15,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9864,21.38,63.53,58.39
40,1.333,AGREE,1,0.9471,1064.36,647.53,94779.7,907.3,496.66,1221.41,798.39,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9854,16.56,60.21,58.37
41,1.366,AGREE,1,0.9493,1064.08,647.5,94866.7,907.16,496.36,1221.0,798.64,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9917,18.12,59.76,58.36
42,1.4,AGREE,1,0.9482,1063.83,647.62,94720.9,907.02,496.61,1220.64,798.62,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.983,17.94,58.55,58.34
43,1.433,AGREE,1,0.9475,1064.13,647.26,94749.0,907.22,496.3,1221.04,798.22,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9846,17.56,58.03,58.35
44,1.466,AGREE,1,0.9469,1063.96,647.32,94524.9,907.21,496.56,1220.71,798.08,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9884,21.35,62.25,58.36
45,1.5,AGREE,1,0.946,1064.14,647.32,94441.2,907.36,496.71,1220.91,797.92,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9823,21.2,63.2,58.42
46,1.533,AGREE,1,0.9473,1064.0,647.27,94471.6,907.2,496.65,1220.8,797.9,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9816,21.3,62.26,58.38
47,1.566,AGREE,1,0.9479,1063.68,647.38,94597.5,906.85,496.59,1220.51,798.18,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9807,22.11,60.64,58.36
48,1.6,AGREE,1,0.9456,1063.52,647.3,94822.4,906.49,496.34,1220.55,798.26,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.987,25.16,61.14,58.35
49,1.633,AGREE,1,0.9462,1063.38,647.47,94981.4,906.17,496.43,1220.6,798.5,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9867,25.44,61.39,58.3
50,1.666,AGREE,1,0.9444,1062.96,647.42,94952.5,905.87,496.31,1220.06,798.53,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9845,24.76,60.84,58.32
51,1.7,AGREE,1,0.9456,1062.83,647.66,95009.5,905.68,496.51,1219.97,798.81,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9839,17.75,62.31,58.28
52,1.733,AGREE,1,0.9468,1062.8,648.0,95238.4,905.43,496.71,1220.17,799.3,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9847,18.14,64.66,58.3
53,1.766,AGREE,1,0.9482,1062.83,647.95,95042.4,905.55,496.88,1220.12,799.02,1,1063.5,648.0,907.0,496.0,1220.0,800.0,0.9889,23.47,66.22,58.34
54,1.799,AGREE,1,0.9473,1063.25,647.91,95315.1,905.72,496.64,1220.78,799.17,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9873,23.57,63.84,58.31
55,1.833,AGREE,1,0.9445,1063.55,647.84,95221.8,906.08,496.67,1221.03,799.01,1,1065.5,648.0,912.0,499.0,1219.0,797.0,0.9608,21.94,63.32,58.31
56,1.866,AGREE,1,0.9449,1063.82,647.69,95353.8,906.11,496.54,1221.53,798.85,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9839,17.72,62.57,58.31
57,1.899,AGREE,1,0.946,1063.87,647.9,95268.3,906.33,496.72,1221.42,799.07,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.988,17.31,62.48,58.33
58,1.933,AGREE,1,0.9456,1063.86,647.75,95447.8,906.39,496.21,1221.33,799.28,1,1064.5,648.0,908.0,496.0,1221.0,800.0,0.9908,17.54,63.78,58.33
59,1.966,AGREE,1,0.9478,1064.04,647.59,95275.3,906.71,496.19,1221.36,798.99,1,1065.5,648.0,909.0,496.0,1222.0,800.0,0.9868,17.48,64.16,58.32
60,1.999,AGREE,1,0.9488,1063.74,647.39,94974.7,906.82,496.08,1220.67,798.7,1,1066.5,647.0,913.0,498.0,1220.0,796.0,0.9633,17.45,61.97,58.28
61,2.033,AGREE,1,0.949,1064.22,646.81,95217.5,907.22,495.18,1221.22,798.43,1,1064.5,647.0,911.0,498.0,1218.0,796.0,0.9608,22.1,63.68,58.35
62,2.066,AGREE,1,0.948,1064.32,646.34,95445.2,907.05,494.62,1221.59,798.07,1,1065.5,647.0,912.0,498.0,1219.0,796.0,0.9585,22.03,64.26,58.4
63,2.099,AGREE,1,0.9442,1064.74,645.24,96054.7,907.18,492.84,1222.3,797.65,1,1066.5,646.0,910.0,494.0,1223.0,798.0,0.984,22.01,63.74,58.49
64,2.133,AGREE,1,0.9453,1064.84,645.27,95850.4,907.21,493.25,1222.46,797.29,1,1065.5,646.0,909.0,494.0,1222.0,798.0,0.9881,22.04,65.67,58.51
65,2.166,AGREE,1,0.9445,1065.25,644.64,95915.1,907.67,492.47,1222.83,796.81,1,1066.5,645.0,910.0,493.0,1223.0,797.0,0.9898,17.81,60.71,58.55
66,2.199,AGREE,1,0.9441,1066.2,644.26,95900.4,908.63,492.1,1223.76,796.42,1,1067.5,645.0,911.0,493.0,1224.0,797.0,0.987,23.68,60.5,58.55
67,2.233,AGREE,1,0.9444,1066.42,644.15,95903.3,908.8,492.04,1224.04,796.26,1,1067.5,645.0,911.0,493.0,1224.0,797.0,0.9874,23.61,58.72,58.51
68,2.266,AGREE,1,0.9444,1066.83,643.58,96119.0,909.14,491.19,1224.52,795.96,1,1067.5,645.0,911.0,493.0,1224.0,797.0,0.9832,16.85,62.45,58.54
69,2.299,AGREE,1,0.9464,1067.18,642.49,96558.9,909.54,489.37,1224.83,795.61,1,1068.5,645.0,912.0,493.0,1225.0,797.0,0.9755,18.04,62.47,58.56
70,2.333,AGREE,1,0.9473,1067.06,641.92,96695.4,909.53,488.47,1224.59,795.37,1,1067.5,644.0,911.0,492.0,1224.0,796.0,0.98,16.53,60.07,58.64
71,2.366,AGREE,1,0.947,1067.43,641.83,96135.1,909.93,489.23,1224.93,794.43,1,1067.5,643.0,908.0,488.0,1227.0,798.0,0.9721,16.49,60.63,58.69
72,2.399,AGREE,1,0.9486,1068.27,641.53,95950.2,910.33,489.66,1226.21,793.41,1,1069.5,643.0,913.0,491.0,1226.0,795.0,0.9814,21.52,61.32,58.77
73,2.433,AGREE,1,0.9485,1069.1,640.03,96531.8,910.73,487.65,1227.47,792.41,1,1070.5,642.0,914.0,490.0,1227.0,794.0,0.9755,23.4,59.77,58.81
74,2.466,AGREE,1,0.9473,1070.72,639.25,96744.9,912.33,486.56,1229.12,791.95,1,1069.5,641.0,910.0,486.0,1229.0,796.0,0.9776,17.89,58.95,58.89
